id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
51351068,Rental unit in Hong Kong · 2 bedrooms · 2 beds · 1.5 baths,125138858,Tony,,Wan Chai,22.28,114.1849,Entire home/apt,470,30,1,2021-10-11,0.05,1,0,0,
51995972,Condo in Tung Wan Beach · Studio · 1 bath,109310747,Brenda,,Islands,22.21112,114.02801,Entire home/apt,430,1,2,2022-12-03,0.12,35,0,1,
4139784,Home in Sha Tin District · ★4.79 · 1 bedroom · 1 bed · 1 shared bath,15586744,Sven,,Sha Tin,22.38396,114.18642,Private room,500,28,15,2023-03-31,0.14,15,365,1,
9397325,Rental unit in Hong Kong · ★4.56 · 1 bedroom · 1 bed · 1 bath,48735502,Ocean,,Yau Tsim Mong,22.30657,114.17077,Private room,367,1,9,2023-05-02,0.10,3,177,6,
5159313,Place to stay in 香港 · ★4.64 · 1 bedroom · 10 beds · 2 shared baths,23376488,Pan,,Yau Tsim Mong,22.3097,114.16992,Shared room,170,1,58,2019-07-07,0.58,8,360,0,
45195060,Serviced apartment in Hong Kong · 1 bedroom · 7 beds · 2 shared baths,38101568,Howard,,Wan Chai,22.28086,114.18366,Shared room,500,30,0,,,1,83,0,
17928725,Boutique hotel in Hong Kong · 1 bedroom · 1 bed · 1 private bath,122943470,Fortress,,Eastern,22.28919,114.19402,Private room,1000,28,0,,,1,0,0,
30099921,Rental unit in Hong Kong · Studio · 1 bed · 1 bath,97240131,Jov,,Yau Tsim Mong,22.3136,114.17053,Entire home/apt,217,29,0,,,362,364,0,
31128197,Rental unit in Hong Kong · Studio · 1 bed · 1 bath,4584648,Ivy,,Yau Tsim Mong,22.32036,114.172,Private room,217,28,0,,,405,0,0,
22145001,Hotel in Hong Kong · ★4.50 · 1 bedroom · 1 bed · 1 private bath,161669067,Yuen King,,Yau Tsim Mong,22.31873,114.17138,Private room,420,1,4,2019-03-25,0.06,4,0,0,
10253523,Rental unit in Hong Kong · ★4.32 · 1 bedroom · 1 bed · 1 shared bath,51969157,Jojo,,Yau Tsim Mong,22.30695,114.17282,Private room,267,1,19,2023-01-08,0.22,16,211,4,
15927004,Rental unit in Hong Kong · ★4.75 · 1 bedroom · 1 bed · 1.5 shared baths,39525333,Choi,,Sha Tin,22.4115,114.22282,Shared room,280,28,36,2019-04-14,0.45,2,0,0,
16693624,Rental unit in 深水埗 · ★4.50 · 2 bedrooms · 16 beds · 1 bath,110280697,子翔,,Sham Shui Po,22.32978,114.16542,Entire home/apt,2500,1,4,2017-11-19,0.05,2,0,0,
17125022,Rental unit in Hong Kong · 1 bedroom · 1 bed · 1 shared bath,67709885,Choon San,,Central & Western,22.28671,114.14839,Private room,160,31,0,,,303,364,0,
17551833,Rental unit in Hong Kong · ★4.92 · 1 bedroom · 1 bed · 1 bath,22938205,Florian,,Central & Western,22.28466,114.14983,Entire home/apt,3000,30,24,2020-01-06,0.31,1,179,0,
35724243,Rental unit in Hong Kong Island · 1 bedroom · 1 bed · 1 bath,7518056,Jovee,,Wan Chai,22.25993,114.19031,Private room,217,29,0,,,365,364,0,
35822475,Rental unit in Hong Kong Island · 1 bedroom · 1 bed · 1 private bath,7518056,Jovee,,Wan Chai,22.25824,114.19006,Private room,160,29,0,,,365,364,0,
36095662,Rental unit in Hong Kong · 1 bedroom · 1 bed · 1 bath,13527132,Vincent,,Yau Tsim Mong,22.31772,114.16831,Entire home/apt,500,30,0,,,3,89,0,
37188657,Rental unit in Hong Kong · 1 bedroom · 1 bed · 1 bath,51402978,Ian,,Central & Western,22.28335,114.15062,Private room,180,3,2,2021-06-03,0.04,4,0,0,
39536542,Rental unit in Hong Kong · 1 bedroom · 1 bed · 1 bath,67709885,Choon San,,Central & Western,22.28591,114.14929,Private room,160,29,0,,,303,364,0,
39685274,Rental unit in Hong Kong · Studio · 1 bed · 2 baths,97240131,Jov,,Yau Tsim Mong,22.31966,114.16262,Private room,217,29,0,,,362,364,0,
39959797,Rental unit in Hong Kong · ★New · Studio · 1 bed · 1 bath,189635318,Miguel,,Central & Western,22.28859,114.13967,Entire home/apt,584,2,0,,,1,0,0,
49664835,Rental unit in Hong Kong · Studio · 1 bed · 1 bath,396156611,Ken,,Yau Tsim Mong,22.31905,114.17158,Entire home/apt,380,1,0,,,15,0,0,
51380974,Rental unit in Hong Kong · 1 bedroom · 2 beds · 1 shared bath,343904394,Tam,,Sham Shui Po,22.33484,114.17521,Shared room,1000,180,0,,,1,0,0,
634318363256819795,Serviced apartment in Hong Kong · ★4.14 · 3 bedrooms · 3 beds · 2 baths,56570136,The Grand Blossom,,Kowloon City,22.30854,114.18362,Entire home/apt,800,1,7,2022-07-18,0.54,53,0,2,
871535605336525550,Rental unit in Hong Kong · ★5.0 · 1 bedroom · 1 bed · 1 bath,270964002,Rachael,,Central & Western,22.28202289794696,114.15216021485082,Entire home/apt,1300,2,3,2023-06-04,1.41,1,14,3,
43605399,Rental unit in Hong Kong · 1 bedroom · 1 bed · 1 shared bath,60754418,Michele,,Central & Western,22.28421,114.14233,Private room,250,6,0,,,1,0,0,
37272058,Condo in Hong Kong · Studio · 1 bed · 1 bath,219373343,Li,,Yau Tsim Mong,22.30437,114.17155,Private room,240,20,0,,,3,0,0,
43147556,Rental unit in Hong Kong · 2 bedrooms · 1 bed · 1 bath,343514338,Baihao,,Sham Shui Po,22.33475,114.1398,Entire home/apt,1483,1,0,,,1,0,0,
17870236,Serviced apartment in Hong Kong · 1 bedroom · 1 bed · 1 bath,120049791,April,,Wan Chai,22.2781,114.17191,Entire home/apt,1150,30,0,,,7,0,0,
7503281,Hostel in Hong Kong · ★4.41 · 1 bedroom · 1 bed · 1 private bath,35448674,Panda,,Yau Tsim Mong,22.31792,114.17132,Private room,1000,1,44,2022-11-26,0.46,10,90,5,
22947339,Rental unit in Hong Kong · 2 bedrooms · 2 beds · 1 bath,14316521,Kathy,,North,22.5196,114.19005,Entire home/apt,384,1,0,,,1,0,0,
8768176,Hostel in Hong Kong · ★4.47 · 1 bedroom · 1 bed · 1 shared bath,45970651,Atlas Hostel & Backpackers,,Yau Tsim Mong,22.29903,114.1723,Private room,633,1,252,2023-06-04,2.74,25,164,18,
8768866,Hostel in Hong Kong · ★4.65 · 1 bedroom · 4 beds · 1 shared bath,45970651,Atlas Hostel & Backpackers,,Yau Tsim Mong,22.29897,114.17237,Hotel room,251,1,216,2023-06-03,2.36,25,357,5,
8818893,Rental unit in Yaumatei  · ★4.49 · 1 bedroom · 1 bed · 1 private bath,45083648,Anna,,Yau Tsim Mong,22.31028,114.17262,Private room,450,1,43,2023-05-03,0.46,7,296,4,
8946730,Rental unit in 香港 · ★4.83 · 1 bedroom · 1 bed · 1 bath,40376086,Mei,,Yau Tsim Mong,22.30675,114.17128,Private room,456,1,155,2023-06-19,1.70,8,78,27,
992390,Rental unit in Central · ★4.57 · Studio · 2 beds · 1 bath,5181284,Peter,,Central & Western,22.28272,114.15307,Entire home/apt,646,12,163,2023-05-31,1.31,2,166,10,
1534018,Rental unit in Sai Wan · 1 bedroom · 1 bed · 1 bath,8178525,Lesley,,Central & Western,22.28611,114.13637,Private room,750,3,1,2014-08-18,0.01,1,0,0,
1971970,Rental unit in Wan Chai District · 1 bedroom · 1 bed · 1 bath,4584648,Ivy,,Wan Chai,22.27695,114.17563,Private room,180,30,1,2015-01-07,0.01,405,365,0,
2998886,Rental unit in Hong Kong · 1 bedroom · 1 bed · 1 bath,14626463,Wendy,,Yau Tsim Mong,22.29609,114.17031,Private room,1430,1,0,,,3,0,0,
2999296,Rental unit in Hong Kong · 1 bedroom · 1 bed · 1 bath,4584648,Ivy,,Central & Western,22.28662,114.14769,Private room,180,30,1,2014-09-15,0.01,405,365,0,
