id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
271733,Rental unit in Wenshan District · ★4.97 · 2 bedrooms · 2 beds · 1 bath,242033,Robyn And David,,文山區,25.00581,121.55518,Entire home/apt,1200,14,66,2023-06-14,0.47,1,115,2,
289296,Rental unit in Daan District · ★4.57 · 2 bedrooms · 2 beds · 1 bath,1338052,Herman,,大安區,25.04287,121.55112,Entire home/apt,2585,28,28,2023-05-20,0.27,2,344,3,
289298,Rental unit in Zhongshan District · ★4.84 · 1 bedroom · 1 bed · 1 bath,1338052,Herman,,中山區,25.08091,121.55902,Entire home/apt,2145,30,187,2022-01-12,1.51,2,319,0,
333362,Rental unit in Jhongshan District · ★4.77 · 1 bedroom · 2 beds · 1 bath,1698423,Jojo,,中山區,25.07893,121.55061,Entire home/apt,1536,4,80,2023-06-11,0.58,1,284,1,
375718,Condo in Daan District · ★4.60 · 1 bedroom · 1 bed · 1 bath,1398361,Second,,大安區,25.04178,121.551,Entire home/apt,2741,9,6,2014-03-10,0.05,9,38,0,
419399,Loft in Songshan District · ★4.82 · 1 bedroom · 1 bed · 1 bath,6629707,Charlie,,松山區,25.04721,121.54421,Entire home/apt,1647,30,139,2020-12-11,1.02,1,0,0,
646629,Rental unit in Daan District · ★4.61 · 1 bedroom · 2 beds · 1 bath,3204303,Kate,,大安區,25.01708,121.53233,Entire home/apt,2648,3,244,2020-03-09,1.89,1,179,0,
697749,Rental unit in Daan District · ★4.33 · 1 bedroom · 1 bed · 1 bath,339014,Lisa,,大安區,25.02941,121.55512,Entire home/apt,997,30,3,2021-01-17,0.03,6,314,0,
697805,Rental unit in Daan District · ★5.0 · 1 bedroom · 1 bath,339014,Lisa,,大安區,25.028716875193723,121.55477955817301,Entire home/apt,997,30,10,2023-06-16,0.09,6,279,2,
761561,Rental unit in Taipei · ★4.74 · Studio · 1 bed · 1 bath,4014285,Pei,,中正區,25.02463,121.52318,Entire home/apt,2180,5,31,2023-05-18,0.24,1,171,3,
818650,Rental unit in Daan District · ★4.76 · 1 bedroom · 1 bed · 1 shared bath,4299066,Romeo,,大安區,25.01747,121.55787,Private room,625,5,206,2020-01-20,1.61,5,33,0,
837546,Rental unit in Neihu District · ★5.0 · 1 bedroom · 2 beds · 1 bath,4377110,Alice,,內湖區,25.08353,121.56432,Private room,1918,8,3,2018-01-01,0.03,9,323,0,
837558,Rental unit in Neihu District · ★5.0 · 1 bedroom · 1 bed · 1 bath,4377110,Alice,,內湖區,25.08353,121.56499,Private room,1821,7,9,2022-08-24,0.12,9,365,2,
855470,Rental unit in Neihu District · 1 bedroom · 1 bed · 1 bath,4377110,Alice,,內湖區,25.08374,121.56374,Private room,1821,30,1,2019-04-14,0.02,9,292,0,
858235,Rental unit in Neihu District · ★4.42 · 1 bedroom · 1 bed · 1 bath,4377110,Alice,,內湖區,25.08347,121.56491,Private room,1652,9,13,2019-03-03,0.12,9,292,0,
869581,Condo in Shilin District · ★4.91 · 1 bedroom · 2 beds · 1.5 baths,4581891,Sophia,,士林區,25.12665,121.53418,Entire home/apt,3115,364,35,2020-03-06,0.28,2,363,0,
962871,Rental unit in Daan District · 1 bedroom · 1 bed · 1 private bath,5216333,Monroe,,大安區,25.04213,121.55314,Private room,2500,2,1,2018-12-30,0.02,4,365,0,
963051,Home in Taipei · ★5.0 · 1 bedroom · 1 bed · 1 private bath,5247611,Fiona,,信義區,25.03648,121.5581,Private room,1800,3,3,2023-01-29,0.04,4,315,1,
969958,Rental unit in Daan District · ★3.50 · 1 bedroom · 1 bed · 1 bath,1641790,Lyric,,大安區,25.04244,121.53458,Private room,2487,2,5,2016-12-22,0.04,1,346,0,
983054,Rental unit in Nangang District · ★4.33 · 2 bedrooms · 3 beds · 1 shared bath,5386798,Jej,,南港區,25.03723,121.61464,Private room,420,31,51,2020-08-14,0.45,2,363,0,
995079,Rental unit in Neihu District · ★4.78 · 1 bedroom · 2 beds · 1 bath,4377110,Alice,,內湖區,25.082,121.5706,Entire home/apt,2167,7,9,2023-06-21,0.10,9,330,2,
995506,Rental unit in Zhongshan District · ★4.67 · 1 bedroom · 1 bed · 1 bath,5469183,Sansan And JD,,中山區,25.04806,121.52318,Private room,1257,2,141,2020-01-12,1.15,3,0,0,
995592,Rental unit in Zhongshan District · ★4.56 · 1 bedroom · 1 bed · 1 bath,5469183,Sansan And JD,,中山區,25.05025,121.52342,Private room,1100,2,113,2018-08-06,0.91,3,0,0,
996009,Rental unit in Shilin District · ★2.50 · 1 bedroom · 1 bed · 1 bath,5471813,Taipei Shelter,,士林區,25.08765,121.52118,Private room,1557,3,6,2013-12-18,0.05,1,0,0,
997153,Rental unit in Zhongshan District · ★4.52 · 1 bedroom · 1 bed · 1 bath,5469183,Sansan And JD,,中山區,25.05017,121.52281,Entire home/apt,1507,2,107,2017-09-07,0.94,3,0,0,
997692,Rental unit in Neihu District · 2 bedrooms · 1 bed,4377110,Alice,,內湖區,25.08332,121.57057,Entire home/apt,2434,7,1,2015-01-04,0.01,9,241,0,
1000580,Rental unit in Neihu District · ★4.86 · 1 bedroom · 2 beds · 1 bath,4377110,Alice,,內湖區,25.08386,121.56448,Entire home/apt,2167,7,7,2022-07-04,0.06,9,327,1,
1015037,Rental unit in Daan District · ★4.71 · 1 bedroom · 1 bed · 1 bath,339014,Lisa,,大安區,25.041585230317267,121.55229487572582,Entire home/apt,1305,30,7,2023-03-25,0.07,6,263,1,
1015088,Rental unit in Daan District · ★4.78 · 1 bedroom · 1 bed · 1 bath,339014,Lisa,,大安區,25.041598861512142,121.55405513531788,Entire home/apt,1305,30,9,2023-04-13,0.10,6,334,1,
1037747,Rental unit in Beitou District · ★4.64 · 1 bedroom · 1 bed · 1.5 baths,4581891,Sophia,,北投區,25.13702,121.50899,Entire home/apt,1308,365,94,2020-03-10,0.76,2,363,0,
1072856,Hostel in Songshan District · ★4.70 · 2 bedrooms · 2 beds · 1 private bath,5785514,小公館人文旅舍,,松山區,25.05152,121.56966,Hotel room,2580,1,38,2022-12-30,0.31,7,132,1,
1072857,Hotel in Songshan District · ★4.70 · 2 bedrooms · 1 bed · 1 private bath,5785514,小公館人文旅舍,,松山區,25.05159,121.56966,Hotel room,3037,1,47,2023-06-14,0.40,7,149,11,
1094125,Rental unit in Daan District · ★4.81 · 2 bedrooms · 2 beds · 2 baths,51827,Jan,,大安區,25.04175,121.55308,Entire home/apt,6460,5,83,2023-06-13,0.70,13,74,2,
1097851,Condo in Xinyi District · ★4.67 · 1 bedroom · 1 bed · 1.5 baths,6033578,Ck,,信義區,25.04173,121.56663,Entire home/apt,3426,2,267,2023-05-25,2.25,1,331,23,
1120179,Rental unit in Daan District · ★4.76 · 1 bedroom · 2 beds · 1 bath,51827,Jan,,大安區,25.04184,121.553,Entire home/apt,3600,4,91,2023-06-19,0.78,13,103,18,
1259320,Condo in Da’an District · ★4.78 · 2 bedrooms · 1 bed · 1 bath,398519,Shane,,大安區,25.03397,121.55313,Entire home/apt,4330,4,160,2023-06-12,1.32,1,158,7,
1297987,Rental unit in Zhongzheng District · ★4.86 · 1 bedroom · 2 beds · 1 bath,5992856,John。Annie,,中正區,25.04727,121.51671,Entire home/apt,2331,7,167,2023-06-20,1.40,1,188,17,
1599241,Rental unit in Shilin District · 1 bedroom · 1 bed · 1 bath,6378689,Wei Wei,,士林區,25.11179,121.52735,Private room,5000,1,1,2018-11-22,0.02,2,364,0,
1610619,Rental unit in Beitou District · ★4.90 · Studio · 1 bed · 1 bath,8577376,Sonnia,,北投區,25.13602,121.51075,Entire home/apt,2300,2,51,2023-06-10,0.47,1,183,3,
1620557,Loft in Shilin District · ★4.73 · 4 bedrooms · 4 beds · 2 baths,8616847,Samuel,,士林區,25.114246368408203,121.52991485595703,Entire home/apt,3404,14,49,2021-05-24,0.55,3,309,0,
1664910,Rental unit in Zhongzheng District · ★4.66 · 1 bedroom · 2 beds · 1 bath,8818893,Tzu Hao,,中正區,25.02692,121.51984,Entire home/apt,2000,1,110,2023-05-30,0.94,1,147,14,
1671130,Condo in Zhongzheng District · ★4.60 · 1 bedroom · 2 beds · 1 bath,8847227,Koma,,中正區,25.0454,121.51649,Entire home/apt,2114,10,342,2023-04-13,3.25,3,182,2,
1689077,Rental unit in Zhongshan District · ★4.53 · 2 bedrooms · 1 bed · 1 bath,8642499,Foreverinn,,中山區,25.05978,121.54351,Entire home/apt,2318,1,91,2023-05-04,0.77,7,287,4,
1701140,Rental unit in Zhongshan District · ★4.36 · 1 bedroom · 1 bed · 1 bath,906344,Lily,,中山區,25.05258,121.52132,Entire home/apt,1434,14,296,2023-05-22,2.55,15,64,2,
1718240,Condo in Daan District · ★4.74 · 1 bedroom · 3 beds · 1 bath,8868664,Anne,,大安區,25.0265,121.55221,Entire home/apt,2571,2,103,2023-05-06,1.02,2,251,6,
1761726,Rental unit in Xinyi District · 1 bedroom · 1 bed · 1 bath,9260050,Ezra,,信義區,25.03792,121.55886,Private room,2000,90,0,,,1,0,0,
1804621,Rental unit in Daan District · ★4.84 · 1 bedroom · 1 bed · 1 bath,4647921,Mark,,大安區,25.044078826904297,121.5509033203125,Entire home/apt,5811,3,75,2023-05-04,0.64,1,334,8,
1805413,Rental unit in Zhongshan District · ★4.46 · 2 bedrooms · 1 bed · 1 bath,8642499,Foreverinn,,中山區,25.05946,121.54363,Entire home/apt,2318,1,71,2022-09-28,0.60,7,287,2,
1805693,Condo in Xinyi District · 1 bedroom · 1 bed · 1.5 shared baths,9464016,Yen-Ning (Jessica),,信義區,25.046871185302734,121.57386016845703,Private room,500,7,2,2023-06-05,0.55,1,307,2,
1805783,Rental unit in Da’an District · ★4.75 · 3 bedrooms · 4 beds · 2 baths,51827,Jan,,大安區,25.04086,121.55334,Entire home/apt,5560,4,109,2023-06-01,0.93,13,85,23,
1808483,Home in Da’an District · ★4.32 · 1 bedroom · 1 bed · 1 bath,5247611,Fiona,,大安區,25.03641,121.55653,Entire home/apt,1300,3,91,2023-06-21,0.88,4,0,8,
1828179,Rental unit in Zhongshan District · ★4.57 · 2 bedrooms · 1 bed · 1 bath,8642499,Foreverinn,,中山區,25.06123,121.5432,Entire home/apt,2318,1,29,2021-11-28,0.25,7,287,0,
1828204,Rental unit in Zhongshan District · ★4.39 · 2 bedrooms · 1 bed · 1 bath,8642499,Foreverinn,,中山區,25.06033,121.54288,Entire home/apt,2318,1,80,2023-04-05,0.68,7,283,2,
1828230,Rental unit in Zhongshan District · ★4.71 · 2 bedrooms · 1 bed · 1 bath,8642499,Foreverinn,,中山區,25.05969,121.543,Entire home/apt,2318,1,17,2023-04-15,0.14,7,287,2,
1838528,Rental unit in Shilin District · ★4.31 · 1 bedroom · 1 bed · 1 bath,9610268,Simon,,士林區,25.08967,121.52408,Private room,1329,1,85,2023-06-09,0.74,2,177,1,
1849010,Rental unit in Daan District · ★4.75 · 1 bedroom · 2 beds · 2 shared baths,3958878,Banana Co-Living,,大安區,25.03389,121.52627,Private room,500,30,4,2015-04-24,0.04,7,337,0,
1849903,Rental unit in Daan District · ★4.86 · 1 bedroom · 2 beds · 1 bath,51827,Jan,,大安區,25.03044,121.53053,Entire home/apt,4660,3,97,2023-05-21,0.83,13,147,24,
1861880,Rental unit in Xinyi District · 1 bedroom · 2 beds · 2 baths,9712347,Clemence,,信義區,25.03264,121.57348,Entire home/apt,3095,180,0,,,1,0,0,
1884880,Rental unit in Zhongshan District · ★4.50 · 2 bedrooms · 1 bed · 1 bath,8642499,Foreverinn,,中山區,25.06024,121.54315,Entire home/apt,2234,1,33,2018-08-15,0.28,7,288,0,
1893206,Rental unit in Daan District · ★4.75 · 1 bedroom · 2 beds · 1 bath,9840069,La Petite Maison,,大安區,25.02601,121.52373,Entire home/apt,2760,35,107,2020-02-29,0.92,1,0,0,
